2ID	IID	sex
61214	61214	2
61215	61215	2
61216	61216	2
61217	61217	1
61218	61218	2
61219	61219	1
61220	61220	1
61221	61221	1
61222	61222	1
61223	61223	1
61224	61224	1
61225	61225	2
61226	61226	2
61227	61227	2
61228	61228	1
61229	61229	2
61230	61230	0
61231	61231	1
61232	61232	2
61233	61233	2
61234	61234	2
61235	61235	1
61236	61236	2
61237	61237	2
61238	61238	2
61239	61239	2
61240	61240	2
61241	61241	1
61242	61242	1
61243	61243	2
61244	61244	2
61245	61245	1
61246	61246	2
61247	61247	1
61248	61248	2
61249	61249	2
61250	61250	1
61251	61251	1
61252	61252	1
61253	61253	1
61254	61254	1
61255	61255	2
61256	61256	1
61257	61257	1
61258	61258	1
61259	61259	2
61260	61260	1
61261	61261	1
61262	61262	1
61263	61263	1
61264	61264	1
61265	61265	1
61266	61266	2
61267	61267	2
61268	61268	2
61269	61269	1
61270	61270	1
61271	61271	1
61272	61272	2
61273	61273	2
61274	61274	2
61275	61275	1
61276	61276	1
61277	61277	2
61278	61278	2
61279	61279	1
61280	61280	1
61281	61281	2
61282	61282	1
61283	61283	1
61284	61284	0
61285	61285	1
61286	61286	2
61287	61287	1
61288	61288	2
61289	61289	2
61290	61290	2
61291	61291	1
61292	61292	1
61293	61293	2
61294	61294	1
61295	61295	1
61296	61296	1
61297	61297	2
61298	61298	2
61299	61299	1
61300	61300	2
61301	61301	1
61302	61302	1
61303	61303	2
61304	61304	2
61305	61305	2
61306	61306	1
61307	61307	1
61308	61308	1
61309	61309	2
61310	61310	1
61311	61311	1
61312	61312	2
61313	61313	2
61314	61314	1
61315	61315	2
61316	61316	1
61317	61317	1
61318	61318	2
61319	61319	1
61320	61320	2
61321	61321	1
61322	61322	1
61323	61323	1
61324	61324	2
61325	61325	1
61326	61326	1
61327	61327	1
61328	61328	1
61329	61329	2
61330	61330	1
61331	61331	1
61332	61332	1
61333	61333	2
61334	61334	1
61335	61335	1
61336	61336	1
61337	61337	2
61338	61338	1
61339	61339	1
61340	61340	2
61341	61341	1
61342	61342	1
61343	61343	1
61344	61344	1
61345	61345	2
61346	61346	1
61347	61347	1
61348	61348	1
61349	61349	1
61350	61350	1
61351	61351	1
61352	61352	2
61353	61353	2
61354	61354	1
61355	61355	0
61356	61356	2
61357	61357	2
61358	61358	2
61359	61359	1
61360	61360	1
